"","01","02","03","04","05","06","07","08","09"
"a","work_life_struggle","exchange_value",NA,NA,"free_free_time",NA,"live_2_work","clear_guidelines","on_street"
"b","burden_others","overwhelmed_work","own_boss","work_2_live",NA,NA,"sleep_well","stay_til_retirement","full_part_time_dec"
"c","responsibility_stress","hard_structuring","goal_not_means",NA,NA,"make_concessions","friends_family","support_weaker","passion_long_hours"
"d",NA,"fit","survival_best","whole_person","emot_aspects_matter",NA,"recognition_pay","decide_teammates","same_rope"
"e","no_tenure_flexible","own_interests",NA,NA,NA,NA,"give_best","coop_comp","use_value"
