"","01","02","03","04","05","06","07","08","09"
"a","whole_person",NA,"use_value","best_pressure","coop_comp","decide_teammates","emot_aspects_matter","no_tenure_flexible","self_motivation"
"b","remote_work_family","sleep_well","meaningful_work",NA,"friends_family","make_concessions",NA,"exchange_value","survival_best"
"c","same_rope","full_part_time_dec","passion_long_hours","free_free_time","team_work_late","fit","responsibility_stress","overwhelmed_work","work_life_struggle"
"d","work_creativity","enough_staff","stay_til_retirement","on_street","own_interests","own_boss","burden_others","remote_job_done","hard_structuring"
"e",NA,"free_time_work_time","live_2_work","give_best","clear_guidelines","support_weaker","recognition_pay","goal_not_means","work_2_live"
