"","01","02","03","04","05","06","07","08","09"
"a","responsibility_stress","stay_til_retirement",NA,NA,NA,"give_best","overwhelmed_work","fit","burden_others"
"b","hard_structuring","recognition_pay","own_interests","no_tenure_flexible",NA,NA,"make_concessions","exchange_value","passion_long_hours"
"c","live_2_work","decide_teammates","use_value","whole_person",NA,"clear_guidelines","on_street","full_part_time_dec","emot_aspects_matter"
"d","sleep_well",NA,NA,NA,NA,"own_boss","same_rope","support_weaker","friends_family"
"e",NA,NA,NA,NA,NA,"survival_best","coop_comp","free_free_time","goal_not_means"
