"","01","02","03","04","05","06","07","08","09"
"a","clear_guidelines",NA,NA,NA,NA,"same_rope","recognition_pay","use_value","exchange_value"
"b","hard_structuring",NA,NA,NA,NA,NA,"full_part_time_dec","whole_person",NA
"c","responsibility_stress","burden_others",NA,"make_concessions",NA,"on_street","goal_not_means",NA,"passion_long_hours"
"d","no_tenure_flexible","survival_best",NA,NA,"support_weaker","fit","stay_til_retirement",NA,"coop_comp"
"e",NA,"own_interests",NA,NA,"overwhelmed_work","free_free_time","friends_family","decide_teammates","emot_aspects_matter"
