"","01","02","03","04","05","06","07","08","09"
"a","decide_teammates","full_part_time_dec","survival_best","enough_staff",NA,NA,"clear_guidelines","no_tenure_flexible",NA
"b","own_boss","make_concessions","overwhelmed_work","sleep_well","stay_til_retirement","work_life_struggle","fit",NA,"free_free_time"
"c","on_street","burden_others","own_interests","give_best",NA,"friends_family","passion_long_hours","use_value","emot_aspects_matter"
"d","live_2_work","responsibility_stress","hard_structuring","whole_person",NA,"same_rope","support_weaker","self_motivation","remote_job_done"
"e","coop_comp","exchange_value","goal_not_means","best_pressure",NA,"team_work_late","recognition_pay","work_2_live",NA
