"","01","02","03","04","05","06","07","08","09"
"a",NA,NA,"no_tenure_flexible","live_2_work","on_street","same_rope","best_pressure","team_work_late","goal_not_means"
"b","enough_staff",NA,"clear_guidelines","decide_teammates","own_interests","emot_aspects_matter","fit",NA,"full_part_time_dec"
"c",NA,"responsibility_stress","use_value","give_best",NA,"work_2_live","support_weaker","burden_others","exchange_value"
"d",NA,"hard_structuring",NA,"own_boss","survival_best","sleep_well","passion_long_hours","make_concessions","work_life_struggle"
"e",NA,"stay_til_retirement","whole_person","recognition_pay","overwhelmed_work","friends_family","free_free_time","coop_comp","self_motivation"
