"","01","02","03","04","05","06","07","08","09"
"a",NA,NA,"no_tenure_flexible","live_2_work","on_street","same_rope","support_weaker",NA,"goal_not_means"
"b",NA,NA,"clear_guidelines","decide_teammates","own_interests","emot_aspects_matter","fit",NA,"full_part_time_dec"
"c",NA,"responsibility_stress",NA,"give_best",NA,NA,"use_value","burden_others","exchange_value"
"d",NA,NA,"hard_structuring","own_boss","survival_best","sleep_well","passion_long_hours","make_concessions","work_life_struggle"
"e",NA,"stay_til_retirement","whole_person","recognition_pay","overwhelmed_work","friends_family","free_free_time","coop_comp",NA
