"","01","02","03","04","05","06","07","08","09"
"a","stay_til_retirement",NA,NA,"recognition_pay","work_2_live","best_pressure","team_work_late",NA,"friends_family"
"b","burden_others","live_2_work","sleep_well","emot_aspects_matter","fit","overwhelmed_work","passion_long_hours","use_value","hard_structuring"
"c","make_concessions","give_best","decide_teammates","exchange_value",NA,"responsibility_stress","on_street","goal_not_means","support_weaker"
"d","no_tenure_flexible",NA,NA,"survival_best","same_rope","coop_comp","full_part_time_dec","clear_guidelines","own_interests"
"e","whole_person",NA,NA,NA,"own_boss",NA,"work_life_struggle",NA,"free_free_time"
