"","01","02","03","04","05","06","07","08","09"
"a","stay_til_retirement","free_time_work_time",NA,"recognition_pay","work_2_live","best_pressure","team_work_late","remote_job_done","friends_family"
"b","burden_others","live_2_work","sleep_well","emot_aspects_matter","fit","overwhelmed_work","passion_long_hours","use_value","hard_structuring"
"c","make_concessions","give_best","decide_teammates","exchange_value","goal_not_means",NA,"on_street","responsibility_stress","support_weaker"
"d","no_tenure_flexible","enough_staff","work_creativity","survival_best","same_rope","coop_comp","full_part_time_dec","clear_guidelines","own_interests"
"e","whole_person","meaningful_work",NA,"remote_work_family","own_boss",NA,"work_life_struggle","self_motivation","free_free_time"
