"","01","02","03","04","05","06","07","08","09"
"a",NA,NA,NA,"survival_best","work_life_struggle",NA,"full_part_time_dec","give_best","goal_not_means"
"b",NA,NA,"hard_structuring","support_weaker","use_value","fit","burden_others","exchange_value","coop_comp"
"c",NA,"decide_teammates",NA,"overwhelmed_work",NA,"same_rope","responsibility_stress","whole_person",NA
"d","sleep_well",NA,"free_free_time",NA,"on_street","friends_family","own_interests","emot_aspects_matter","passion_long_hours"
"e",NA,NA,"clear_guidelines","own_boss","stay_til_retirement","make_concessions","no_tenure_flexible","recognition_pay","live_2_work"
