"","01","02","03","04","05","06","07","08","09"
"a","responsibility_stress",NA,NA,"no_tenure_flexible",NA,"friends_family",NA,NA,"passion_long_hours"
"b","hard_structuring",NA,NA,"on_street",NA,"same_rope","support_weaker","coop_comp",NA
"c","own_interests",NA,"stay_til_retirement","overwhelmed_work",NA,"make_concessions","clear_guidelines","fit",NA
"d",NA,"exchange_value","full_part_time_dec",NA,"decide_teammates","burden_others","free_free_time","recognition_pay","use_value"
"e",NA,NA,NA,NA,NA,"goal_not_means","emot_aspects_matter",NA,NA
