"","01","02","03","04","05","06","07","08","09"
"a","no_tenure_flexible","own_interests","recognition_pay","self_motivation","clear_guidelines","full_part_time_dec","enough_staff","give_best","on_street"
"b","burden_others","work_life_struggle",NA,"exchange_value","use_value","free_free_time","decide_teammates","passion_long_hours","support_weaker"
"c","overwhelmed_work","responsibility_stress","own_boss","make_concessions",NA,"meaningful_work","goal_not_means","emot_aspects_matter","stay_til_retirement"
"d","hard_structuring","live_2_work",NA,"fit","remote_job_done","best_pressure","same_rope","sleep_well","coop_comp"
"e","survival_best","free_time_work_time",NA,NA,NA,"team_work_late","work_2_live","whole_person","friends_family"
