"","01","02","03","04","05","06","07","08","09"
"a","no_tenure_flexible",NA,"make_concessions","free_free_time",NA,NA,"stay_til_retirement",NA,"goal_not_means"
"b","burden_others","same_rope",NA,"clear_guidelines","on_street","full_part_time_dec",NA,"own_interests",NA
"c","hard_structuring","responsibility_stress","decide_teammates",NA,NA,NA,"use_value",NA,"friends_family"
"d","overwhelmed_work","exchange_value",NA,"support_weaker","whole_person",NA,"fit",NA,"coop_comp"
"e",NA,NA,"survival_best",NA,NA,NA,NA,"recognition_pay","emot_aspects_matter"
