"","01","02","03","04","05","06","07","08","09"
"a","hard_structuring","own_interests","passion_long_hours","burden_others","fit","goal_not_means","decide_teammates",NA,NA
"b","free_free_time","responsibility_stress","on_street","recognition_pay","emot_aspects_matter",NA,"coop_comp",NA,NA
"c","friends_family","make_concessions","support_weaker",NA,NA,NA,NA,NA,NA
"d","use_value","overwhelmed_work","full_part_time_dec","clear_guidelines",NA,NA,NA,NA,NA
"e","exchange_value","no_tenure_flexible","same_rope",NA,NA,NA,NA,NA,NA
