"","01","02","03","04","05","06","07","08","09"
"a",NA,NA,"enough_staff","give_best","work_2_live","recognition_pay","stay_til_retirement","full_part_time_dec","self_motivation"
"b",NA,"responsibility_stress","clear_guidelines","survival_best","best_pressure","passion_long_hours","make_concessions","fit","work_life_struggle"
"c","hard_structuring","burden_others","exchange_value","remote_job_done",NA,"own_interests","on_street","same_rope","own_boss"
"d","live_2_work",NA,"overwhelmed_work","free_free_time","team_work_late","whole_person","support_weaker","emot_aspects_matter","goal_not_means"
"e",NA,NA,"no_tenure_flexible","sleep_well",NA,"friends_family","use_value","decide_teammates","coop_comp"
