"","01","02","03","04","05","06","07","08","09"
"a",NA,NA,NA,NA,NA,"recognition_pay",NA,"full_part_time_dec",NA
"b",NA,"responsibility_stress","clear_guidelines",NA,NA,"passion_long_hours","make_concessions","fit",NA
"c","hard_structuring","burden_others","exchange_value",NA,NA,"own_interests","on_street","same_rope",NA
"d",NA,NA,"overwhelmed_work","free_free_time",NA,NA,"support_weaker","emot_aspects_matter","goal_not_means"
"e",NA,NA,"no_tenure_flexible",NA,NA,"friends_family","use_value","decide_teammates","coop_comp"
