"","01","02","03","04","05","06","07","08","09"
"a",NA,NA,NA,NA,NA,NA,"responsibility_stress","coop_comp","passion_long_hours"
"b",NA,NA,NA,NA,NA,NA,"same_rope","support_weaker","goal_not_means"
"c","no_tenure_flexible","burden_others","exchange_value",NA,NA,"use_value","fit","make_concessions","stay_til_retirement"
"d","decide_teammates","on_street",NA,NA,NA,"recognition_pay","free_free_time","clear_guidelines","hard_structuring"
"e",NA,NA,NA,NA,"own_interests",NA,"friends_family","overwhelmed_work","emot_aspects_matter"
