"","01","02","03","04","05","06","07","08","09"
"a",NA,NA,NA,NA,NA,"give_best","responsibility_stress","coop_comp","passion_long_hours"
"b","sleep_well","whole_person","own_boss",NA,NA,NA,"same_rope","support_weaker","goal_not_means"
"c","no_tenure_flexible","burden_others","exchange_value",NA,NA,"use_value","fit","make_concessions","stay_til_retirement"
"d","decide_teammates","on_street",NA,NA,NA,"live_2_work","free_free_time","clear_guidelines","hard_structuring"
"e",NA,"survival_best",NA,NA,"own_interests","recognition_pay","friends_family","overwhelmed_work","emot_aspects_matter"
