"","01","02","03","04","05","06","07","08","09"
"a",NA,NA,"stay_til_retirement",NA,"whole_person","survival_best","decide_teammates",NA,"goal_not_means"
"b",NA,"hard_structuring",NA,NA,NA,"exchange_value","own_interests","on_street",NA
"c","responsibility_stress",NA,"free_free_time","no_tenure_flexible",NA,"support_weaker","friends_family","passion_long_hours","coop_comp"
"d","overwhelmed_work","make_concessions",NA,"clear_guidelines",NA,"use_value","emot_aspects_matter","fit","same_rope"
"e",NA,NA,NA,NA,NA,"burden_others","recognition_pay","full_part_time_dec",NA
