"","01","02","03","04","05","06","07","08","09"
"a",NA,NA,NA,"friends_family",NA,"use_value","emot_aspects_matter","stay_til_retirement","whole_person"
"b",NA,"recognition_pay",NA,"own_interests",NA,"responsibility_stress","free_free_time","fit","give_best"
"c",NA,"clear_guidelines","survival_best","support_weaker","sleep_well","passion_long_hours","on_street","same_rope",NA
"d",NA,"no_tenure_flexible",NA,"hard_structuring","burden_others","make_concessions","overwhelmed_work","exchange_value",NA
"e",NA,NA,"live_2_work",NA,"decide_teammates","full_part_time_dec","goal_not_means","coop_comp",NA
