"","01","02","03","04","05","06","07","08","09"
"a","burden_others","hard_structuring","full_part_time_dec","on_street","responsibility_stress",NA,NA,NA,"support_weaker"
"b","passion_long_hours","no_tenure_flexible","own_interests","exchange_value","overwhelmed_work","friends_family",NA,NA,"free_free_time"
"c","fit","recognition_pay","own_boss",NA,NA,"sleep_well",NA,"emot_aspects_matter","use_value"
"d","make_concessions","live_2_work","give_best",NA,"clear_guidelines","decide_teammates",NA,"goal_not_means",NA
"e","same_rope","survival_best",NA,"stay_til_retirement","whole_person","work_life_struggle",NA,"coop_comp",NA
